target_date,sunset_time
01/08/2020,21:14
02/08/2020,21:12
03/08/2020,21:10
04/08/2020,21:08
05/08/2020,21:06
06/08/2020,21:04
07/08/2020,21:02
08/08/2020,21:00
09/08/2020,20:58
10/08/2020,20:56
11/08/2020,20:54
12/08/2020,20:52
13/08/2020,20:50
14/08/2020,20:48
15/08/2020,20:46
16/08/2020,20:44
17/08/2020,20:42
18/08/2020,20:39
19/08/2020,20:37
20/08/2020,20:35
21/08/2020,20:33
22/08/2020,20:31
23/08/2020,20:28
24/08/2020,20:26
25/08/2020,20:24
26/08/2020,20:21
27/08/2020,20:19
28/08/2020,20:17
29/08/2020,20:14
30/08/2020,20:12
31/08/2020,20:10
01/09/2020,20:07
02/09/2020,20:05
03/09/2020,20:03
04/09/2020,20:00
05/09/2020,19:58
06/09/2020,19:55
07/09/2020,19:53
08/09/2020,19:50
09/09/2020,19:48
10/09/2020,19:46
11/09/2020,19:43
12/09/2020,19:41
13/09/2020,19:38
14/09/2020,19:36
15/09/2020,19:33
16/09/2020,19:31
17/09/2020,19:28
18/09/2020,19:26
19/09/2020,19:24
20/09/2020,19:21
21/09/2020,19:19
22/09/2020,19:16
23/09/2020,19:14
24/09/2020,19:11
25/09/2020,19:09
26/09/2020,19:06
27/09/2020,19:04
28/09/2020,19:02
29/09/2020,18:59
30/09/2020,18:57
01/10/2020,18:54
02/10/2020,18:52
03/10/2020,18:49
04/10/2020,18:47
05/10/2020,18:45
06/10/2020,18:42
07/10/2020,18:40
08/10/2020,18:38
09/10/2020,18:35
10/10/2020,18:33
11/10/2020,18:31
12/10/2020,18:28
13/10/2020,18:26
14/10/2020,18:24
15/10/2020,18:21
16/10/2020,18:19
17/10/2020,18:17
18/10/2020,18:15
19/10/2020,18:12
20/10/2020,18:10
21/10/2020,18:08
22/10/2020,18:06
23/10/2020,18:04
24/10/2020,18:01
25/10/2020,16:59
26/10/2020,16:57
27/10/2020,16:55
28/10/2020,16:53
29/10/2020,16:51
30/10/2020,16:49
31/10/2020,16:47
01/11/2020,16:45
02/11/2020,16:43
03/11/2020,16:41
04/11/2020,16:39
05/11/2020,16:38
06/11/2020,16:36
07/11/2020,16:34
08/11/2020,16:32
09/11/2020,16:31
10/11/2020,16:29
11/11/2020,16:27
12/11/2020,16:26
13/11/2020,16:24
14/11/2020,16:22
15/11/2020,16:21
16/11/2020,16:20
17/11/2020,16:18
18/11/2020,16:17
19/11/2020,16:15
20/11/2020,16:14
21/11/2020,16:13
22/11/2020,16:12
23/11/2020,16:10
24/11/2020,16:09
25/11/2020,16:08
26/11/2020,16:07
27/11/2020,16:06
28/11/2020,16:0
29/11/2020,16:05
30/11/2020,16:04
01/12/2020,16:03
02/12/2020,16:02
03/12/2020,16:02
04/12/2020,16:01
05/12/2020,16:01
06/12/2020,16:00
07/12/2020,16:00
08/12/2020,16:00
09/12/2020,15:59
10/12/2020,15:59
11/12/2020,15:59
12/12/2020,15:59
13/12/2020,15:59
14/12/2020,15:59
15/12/2020,15:59
16/12/2020,15:59
17/12/2020,15:59
18/12/2020,16:00
19/12/2020,16:00
20/12/2020,16:00
21/12/2020,16:01
22/12/2020,16:02
23/12/2020,16:02
24/12/2020,16:03
25/12/2020,16:03
26/12/2020,16:04
27/12/2020,16:05
28/12/2020,16:06
29/12/2020,16:07
30/12/2020,16:08
31/12/2020,16:09